First Name,Last Name,Email,Phone Number,Job Title,Company Name,LinkedIn URL
Priya,Silva,priya.silva@northwind.example,,,"Northwind Trading",
Leila,Nowak,leila.nowak@merrow.example,+1 555 0120,VP Marketing,"Merrow Analytics",
Maya,Kaur,maya.kaur@halcyon.example,,Customer Success Lead,"Halcyon Freight",
Rania,Ibrahim,rania.ibrahim@pine.example,,,"Pine & Rowe",https://linkedin.com/in/rania-ibrahim-43
Omar,Duarte,omar.duarte@vertex.example,+1 555 0139,SDR,"Vertex Retail",
Noah,Vance,,,Founder,"Merrow Analytics",
Noah,Duarte,noah.duarte@acme.example,,Account Executive,"Acme, Inc",
Bruno,Ferreira,bruno.ferreira@merrow.example,,Director of Demand Gen,"Merrow Analytics",
Ethan,Whitfield,ethan.whitfield@vertex.example,,Partnerships Manager,"Vertex Retail",https://linkedin.com/in/ethan-whitfield-48
Bruno,Tanaka,bruno.tanaka@merrow.example,,VP Marketing,"Merrow Analytics",
Hugo,Nowak,hugo.nowak@merrow.example,,RevOps Manager,"Merrow Analytics",
Ingrid,Bergman,ingrid.bergman@northwind.example,,Partnerships Manager,"Northwind Trading",https://linkedin.com/in/ingrid-bergman-51
Talia,Moreau,,,Director of Demand Gen,"Halcyon Freight",
Felix,Feld,felix.feld@vertex.example,,Director of Demand Gen,"Vertex Retail",
Iris,Duarte,iris.duarte@ridgeline.example,+1 555 0116,Head of Sales,"Ridgeline Software",
Hugo,Novak,hugo.novak@northwind.example,,Director of Demand Gen,"Northwind Trading",
Mateo,Moreau,mateo.moreau@merrow.example,+1 555 0189,Customer Success Lead,"Merrow Analytics",
Nora,Castellano,nora.castellano@merrow.example,,Partnerships Manager,"Merrow Analytics",https://linkedin.com/in/nora-castellano-57
Bruno,Duarte,bruno.duarte@merrow.example,+1 555 0129,SDR,"Merrow Analytics",https://linkedin.com/in/bruno-duarte-58
Anya,Sorensen,anya.sorensen@pine.example,,VP Marketing,"Pine & Rowe",https://linkedin.com/in/anya-sorensen-59
Lena,Ferreira,,,Customer Success Lead,"Vertex Retail",https://linkedin.com/in/lena-ferreira-60
Nora,Nowak,,,RevOps Manager,"Blue Harbor Labs",
Leila,Sandoval,,,Partnerships Manager,"Pine & Rowe",https://linkedin.com/in/leila-sandoval-62
Sana,Ibrahim,sana.ibrahim@acme.example,,Partnerships Manager,"Acme, Inc",https://linkedin.com/in/sana-ibrahim-63
Amara,Kaur,,,Founder,"Vertex Retail",https://linkedin.com/in/amara-kaur-64
Iris,Reyes,,,,"Northwind Trading",
Felix,Marchetti,felix.marchetti@ridgeline.example,,Head of Sales,"Ridgeline Software",https://linkedin.com/in/felix-marchetti-66
Mia,Nyberg,,,Customer Success Lead,"Vertex Retail",https://linkedin.com/in/mia-nyberg-67
Ingrid,Silva,ingrid.silva@acme.example,,Customer Success Lead,"Acme, Inc",
Sana,Tanaka,sana.tanaka@fairbank.example,+1 555 0133,,"Fairbank Group",
Nina,Castellano,,,SDR,"Ridgeline Software",https://linkedin.com/in/nina-castellano-70
Theo,Bergman,theo.bergman@vertex.example,,Director of Demand Gen,"Vertex Retail",
Leila,Bianchi,,,Founder,"Fairbank Group",
Felix,Reyes,felix.reyes@blue.example,,VP Marketing,"Blue Harbor Labs",https://linkedin.com/in/felix-reyes-73
Felix,Reyes,,,,"Northwind Trading",
Rania,Okafor,rania.okafor@vertex.example,,,"Vertex Retail",
Tomas,Nowak,tomas.nowak@merrow.example,+1 555 0172,RevOps Manager,"Merrow Analytics",https://linkedin.com/in/tomas-nowak-76
Zoe,Nowak,zoe.nowak@fairbank.example,+1 555 0149,Account Executive,"Fairbank Group",
Nina,Nyberg,nina.nyberg@halcyon.example,,Director of Demand Gen,"Halcyon Freight",
Bruno,Bergman,bruno.bergman@fairbank.example,,Founder,"Fairbank Group",
Freya,Adeyemi,,+1 555 0174,,"Cobalt Health",
Maya,Okafor,maya.okafor@pine.example,,SDR,"Pine & Rowe",
Elif,Osei,elif.osei@halcyon.example,+1 555 0105,Director of Demand Gen,"Halcyon Freight",
Jonas,Sorensen,,,,"Acme, Inc",https://linkedin.com/in/jonas-sorensen-83
Leila,Tanaka,,,Director of Demand Gen,"Blue Harbor Labs",https://linkedin.com/in/leila-tanaka-84
Mateo,Adeyemi,mateo.adeyemi@ridgeline.example,+1 555 0117,Account Executive,"Ridgeline Software",
Omar,Tanaka,omar.tanaka@cobalt.example,,Founder,"Cobalt Health",https://linkedin.com/in/omar-tanaka-86
Talia,Kovac,,,,"Fairbank Group",https://linkedin.com/in/talia-kovac-87
Rania,Bianchi,rania.bianchi@vertex.example,,,"Vertex Retail",
Idris,Bennett,,,,"Fairbank Group",https://linkedin.com/in/idris-bennett-89
Nina,Nowak,nina.nowak@vertex.example,,VP Marketing,"Vertex Retail",
Sven,Lambert,sven.lambert@blue.example,,,"Blue Harbor Labs",https://linkedin.com/in/sven-lambert-91
Jamal,Castellano,jamal.castellano@vertex.example,+1 555 0149,SDR,"Vertex Retail",
Ingrid,Haddad,ingrid.haddad@cobalt.example,+1 555 0123,SDR,"Cobalt Health",https://linkedin.com/in/ingrid-haddad-93
Viktor,Ferreira,,,Director of Demand Gen,"Pine & Rowe",https://linkedin.com/in/viktor-ferreira-94
Viktor,Rossi,,,RevOps Manager,"Northwind Trading",https://linkedin.com/in/viktor-rossi-95
Sven,Lambert,sven.lambert@pine.example,,SDR,"Pine & Rowe",
Omar,Haddad,omar.haddad@halcyon.example,+1 555 0187,Director of Demand Gen,"Halcyon Freight",
Kwame,Marchetti,kwame.marchetti@pine.example,+1 555 0193,VP Marketing,"Pine & Rowe",
Ruben,Bennett,ruben.bennett@pine.example,,SDR,"Pine & Rowe",https://linkedin.com/in/ruben-bennett-99
Elsa,Kaur,elsa.kaur@fairbank.example,,Founder,"Fairbank Group",https://linkedin.com/in/elsa-kaur-100
Elif,Tanaka,elif.tanaka@northwind.example,,Customer Success Lead,"Northwind Trading",
Elsa,Rossi,,,SDR,"Merrow Analytics",
Hugo,Moreau,hugo.moreau@ridgeline.example,,Partnerships Manager,"Ridgeline Software",
Viktor,Bergman,viktor.bergman@pine.example,+1 555 0186,,"Pine & Rowe",
Zoe,Kovac,zoe.kovac@fairbank.example,,SDR,"Fairbank Group",https://linkedin.com/in/zoe-kovac-105
Maya,Castellano,maya.castellano@acme.example,+1 555 0181,,"Acme, Inc",
Ava,Ibrahim,ava.ibrahim@acme.example,,,"Acme, Inc",https://linkedin.com/in/ava-ibrahim-107
Maya,Adeyemi,maya.adeyemi@blue.example,,Founder,"Blue Harbor Labs",https://linkedin.com/in/maya-adeyemi-108
Liam,Ellis,liam.ellis@cobalt.example,,,"Cobalt Health",https://linkedin.com/in/liam-ellis-109
Liam,Whitfield,,,SDR,"Halcyon Freight",
Theo,Vance,theo.vance@vertex.example,,Partnerships Manager,"Vertex Retail",
Theo,Ferreira,theo.ferreira@cobalt.example,+1 555 0139,Partnerships Manager,"Cobalt Health",
Priya,Ellis,priya.ellis@ridgeline.example,,RevOps Manager,"Ridgeline Software",
Elif,Bergman,,,Partnerships Manager,"Northwind Trading",https://linkedin.com/in/elif-bergman-114
Diego,Ibrahim,diego.ibrahim@northwind.example,,,"Northwind Trading",
Ruben,Marchetti,ruben.marchetti@vertex.example,,,"Vertex Retail",
Anya,Kaur,anya.kaur@cobalt.example,+1 555 0116,Founder,"Cobalt Health",
Liam,Kaur,liam.kaur@fairbank.example,,Account Executive,"Fairbank Group",https://linkedin.com/in/liam-kaur-118
Ethan,Vance,ethan.vance@cobalt.example,,Director of Demand Gen,"Cobalt Health",
Mateo,Nowak,mateo.nowak@merrow.example,+1 555 0153,,"Merrow Analytics",https://linkedin.com/in/mateo-nowak-120
Clara,Duarte,clara.duarte@northwind.example,,,"Northwind Trading",https://linkedin.com/in/clara-duarte-121
Kwame,Haddad,kwame.haddad@cobalt.example,,RevOps Manager,"Cobalt Health",
Lena,Moreau,lena.moreau@ridgeline.example,+1 555 0115,Head of Sales,"Ridgeline Software",https://linkedin.com/in/lena-moreau-123
Amara,Novak,amara.novak@cobalt.example,,,"Cobalt Health",https://linkedin.com/in/amara-novak-124
Marc,Ferreira,,,Founder,"Fairbank Group",https://linkedin.com/in/marc-ferreira-125
Felix,Nowak,felix.nowak@acme.example,,SDR,"Acme, Inc",
Diego,Reyes,diego.reyes@halcyon.example,,RevOps Manager,"Halcyon Freight",
Jamal,Moreau,jamal.moreau@blue.example,,,"Blue Harbor Labs",
Viktor,Reyes,,,Customer Success Lead,"Acme, Inc",
Zoe,Haddad,zoe.haddad@ridgeline.example,,,"Ridgeline Software",
Maya,Ellis,maya.ellis@pine.example,,SDR,"Pine & Rowe",https://linkedin.com/in/maya-ellis-131
Jonas,Adeyemi,jonas.adeyemi@fairbank.example,,,"Fairbank Group",
Maya,Duarte,maya.duarte@merrow.example,,,"Merrow Analytics",https://linkedin.com/in/maya-duarte-134
Priya,Whitfield,priya.whitfield@merrow.example,,Partnerships Manager,"Merrow Analytics",
Talia,Kovac,talia.kovac@vertex.example,,VP Marketing,"Vertex Retail",
Noah,Bianchi,noah.bianchi@vertex.example,,Customer Success Lead,"Vertex Retail",https://linkedin.com/in/noah-bianchi-137
Tomas,Lindqvist,tomas.lindqvist@pine.example,+1 555 0157,Account Executive,"Pine & Rowe",
Talia,Nowak,talia.nowak@merrow.example,,,"Merrow Analytics",https://linkedin.com/in/talia-nowak-139
Tomas,Sorensen,,+1 555 0136,SDR,"Blue Harbor Labs",
Talia,Vance,,,,"Blue Harbor Labs",
Theo,Ibrahim,theo.ibrahim@blue.example,,Customer Success Lead,"Blue Harbor Labs",https://linkedin.com/in/theo-ibrahim-142
Noah,Silva,noah.silva@vertex.example,,RevOps Manager,"Vertex Retail",
Theo,Haddad,,,Head of Sales,"Merrow Analytics",https://linkedin.com/in/theo-haddad-144
Mia,Lambert,mia.lambert@blue.example,,,"Blue Harbor Labs",
Jamal,Sandoval,jamal.sandoval@fairbank.example,+1 555 0162,Director of Demand Gen,"Fairbank Group",https://linkedin.com/in/jamal-sandoval-146
Nora,Castellano,,,SDR,"Ridgeline Software",
Idris,Osei,idris.osei@northwind.example,,Customer Success Lead,"Northwind Trading",https://linkedin.com/in/idris-osei-148
Mateo,Ferreira,mateo.ferreira@acme.example,+1 555 0131,Customer Success Lead,"Acme, Inc",https://linkedin.com/in/mateo-ferreira-150
Amara,Kovac,amara.kovac@acme.example,,,"Acme, Inc",
Jonas,Ferreira,jonas.ferreira@acme.example,+1 555 0185,Partnerships Manager,"Acme, Inc",
Nina,Novak,nina.novak@ridgeline.example,+1 555 0112,Account Executive,"Ridgeline Software",
Elsa,Reyes,,,,"Halcyon Freight",
Zoe,Marchetti,zoe.marchetti@halcyon.example,,VP Marketing,"Halcyon Freight",
Noah,Marchetti,noah.marchetti@pine.example,,Director of Demand Gen,"Pine & Rowe",https://linkedin.com/in/noah-marchetti-156
Sana,Rossi,,+1 555 0145,Head of Sales,"Northwind Trading",
Kian,Duarte,kian.duarte@merrow.example,,Head of Sales,"Merrow Analytics",https://linkedin.com/in/kian-duarte-158
Kwame,Lambert,kwame.lambert@pine.example,,Account Executive,"Pine & Rowe",
Clara,Osei,,+1 555 0115,VP Marketing,"Acme, Inc",
Jonas,Tanaka,jonas.tanaka@cobalt.example,,RevOps Manager,"Cobalt Health",https://linkedin.com/in/jonas-tanaka-161
Elif,Rossi,elif.rossi@blue.example,,RevOps Manager,"Blue Harbor Labs",
Zoe,Marchetti,,+1 555 0100,Founder,"Merrow Analytics",
Idris,Ibrahim,,,VP Marketing,"Fairbank Group",
Kian,Bennett,kian.bennett@blue.example,,Director of Demand Gen,"Blue Harbor Labs",https://linkedin.com/in/kian-bennett-165
Mateo,Bergman,mateo.bergman@northwind.example,,,"Northwind Trading",
Ruben,Haddad,ruben.haddad@halcyon.example,,Partnerships Manager,"Halcyon Freight",https://linkedin.com/in/ruben-haddad-167
Elsa,Silva,elsa.silva@fairbank.example,,VP Marketing,"Fairbank Group",https://linkedin.com/in/elsa-silva-168
Kian,Whitfield,kian.whitfield@cobalt.example,+1 555 0130,,"Cobalt Health",
Mateo,Sorensen,mateo.sorensen@halcyon.example,,Head of Sales,"Halcyon Freight",
Theo,Haddad,theo.haddad@blue.example,,Partnerships Manager,"Blue Harbor Labs",
Priya,Nyberg,,+1 555 0172,VP Marketing,"Northwind Trading",https://linkedin.com/in/priya-nyberg-172
Liam,Rossi,,,Partnerships Manager,"Ridgeline Software",https://linkedin.com/in/liam-rossi-173
Mateo,Ellis,mateo.ellis@acme.example,,VP Marketing,"Acme, Inc",
Ingrid,Ibrahim,,,VP Marketing,"Halcyon Freight",https://linkedin.com/in/ingrid-ibrahim-175
Mia,Kaur,mia.kaur@halcyon.example,,,"Halcyon Freight",https://linkedin.com/in/mia-kaur-176
Bruno,Lambert,,,RevOps Manager,"Northwind Trading",
Kwame,Ellis,kwame.ellis@ridgeline.example,+1 555 0187,VP Marketing,"Ridgeline Software",
Omar,Nowak,omar.nowak@vertex.example,,,"Vertex Retail",
Jamal,Duarte,,,SDR,"Northwind Trading",
Mateo,Sandoval,mateo.sandoval@blue.example,,Customer Success Lead,"Blue Harbor Labs",
Liam,Duarte,liam.duarte@ridgeline.example,,Account Executive,"Ridgeline Software",
Felix,Duarte,felix.duarte@fairbank.example,,Account Executive,"Fairbank Group",https://linkedin.com/in/felix-duarte-183
Marc,Nowak,marc.nowak@ridgeline.example,,,"Ridgeline Software",https://linkedin.com/in/marc-nowak-184
Jamal,Bennett,,,VP Marketing,"Merrow Analytics",
Ruben,Okafor,ruben.okafor@blue.example,+1 555 0117,RevOps Manager,"Blue Harbor Labs",
Anya,Castellano,anya.castellano@ridgeline.example,+1 555 0148,,"Ridgeline Software",https://linkedin.com/in/anya-castellano-187
Bruno,Adeyemi,bruno.adeyemi@northwind.example,,VP Marketing,"Northwind Trading",
Ingrid,Kaur,,,Account Executive,"Northwind Trading",
Kian,Feld,kian.feld@pine.example,,,"Pine & Rowe",
Diego,Nowak,diego.nowak@halcyon.example,,VP Marketing,"Halcyon Freight",
Ruben,Vance,,,,"Fairbank Group",https://linkedin.com/in/ruben-vance-192
Talia,Bennett,talia.bennett@cobalt.example,,Partnerships Manager,"Cobalt Health",https://linkedin.com/in/talia-bennett-193
Omar,Whitfield,omar.whitfield@pine.example,,,"Pine & Rowe",
Felix,Ellis,felix.ellis@northwind.example,+1 555 0136,Founder,"Northwind Trading",
Felix,Duarte,felix.duarte@halcyon.example,,Partnerships Manager,"Halcyon Freight",
Tomas,Sandoval,tomas.sandoval@ridgeline.example,,,"Ridgeline Software",https://linkedin.com/in/tomas-sandoval-197
Kwame,Kovac,kwame.kovac@northwind.example,,Customer Success Lead,"Northwind Trading",
Maya,Ellis,maya.ellis@fairbank.example,+1 555 0132,,"Fairbank Group",
Anya,Ferreira,anya.ferreira@pine.example,,Account Executive,"Pine & Rowe",https://linkedin.com/in/anya-ferreira-200
Maya,Sorensen,maya.sorensen@pine.example,,VP Marketing,"Pine & Rowe",https://linkedin.com/in/maya-sorensen-201
Liam,Sorensen,liam.sorensen@merrow.example,,,"Merrow Analytics",https://linkedin.com/in/liam-sorensen-202
Clara,Bergman,,,Founder,"Ridgeline Software",
Amara,Bennett,amara.bennett@blue.example,,,"Blue Harbor Labs",
Bruno,Bennett,bruno.bennett@merrow.example,,Partnerships Manager,"Merrow Analytics",
Kian,Ferreira,kian.ferreira@pine.example,,,"Pine & Rowe",https://linkedin.com/in/kian-ferreira-206
Marc,Kovac,marc.kovac@ridgeline.example,+1 555 0120,,"Ridgeline Software",https://linkedin.com/in/marc-kovac-207
Sven,Ibrahim,sven.ibrahim@fairbank.example,,Partnerships Manager,"Fairbank Group",
Jonas,Vance,jonas.vance@pine.example,+1 555 0194,,"Pine & Rowe",
Zoe,Castellano,zoe.castellano@acme.example,,Partnerships Manager,"Acme, Inc",https://linkedin.com/in/zoe-castellano-210
Amara,Okafor,amara.okafor@blue.example,,SDR,"Blue Harbor Labs",
Rania,Lambert,rania.lambert@ridgeline.example,,SDR,"Ridgeline Software",
Marc,Castellano,marc.castellano@fairbank.example,,Account Executive,"Fairbank Group",https://linkedin.com/in/marc-castellano-213
Diego,Ibrahim,,,VP Marketing,"Blue Harbor Labs",https://linkedin.com/in/diego-ibrahim-214
Ava,Ellis,ava.ellis@fairbank.example,+1 555 0117,,"Fairbank Group",
Priya,Bianchi,priya.bianchi@ridgeline.example,,,"Ridgeline Software",
Omar,Nyberg,,,RevOps Manager,"Northwind Trading",
Noah,Castellano,noah.castellano@merrow.example,,,"Merrow Analytics",
Freya,Novak,freya.novak@ridgeline.example,,,"Ridgeline Software",
Marc,Nowak,marc.nowak@cobalt.example,,,"Cobalt Health",
Priya,Ferreira,priya.ferreira@halcyon.example,,Founder,"Halcyon Freight",
Hugo,Feld,hugo.feld@ridgeline.example,,SDR,"Ridgeline Software",
Kian,Okafor,,+1 555 0139,Head of Sales,"Blue Harbor Labs",
Nora,Ellis,nora.ellis@northwind.example,+1 555 0150,VP Marketing,"Northwind Trading",
Jamal,Feld,,,,"Cobalt Health",https://linkedin.com/in/jamal-feld-226
Talia,Castellano,,,,"Northwind Trading",
Zoe,Feld,,,,"Pine & Rowe",
Marc,Lindqvist,,,Director of Demand Gen,"Pine & Rowe",
Elsa,Castellano,elsa.castellano@acme.example,,Customer Success Lead,"Acme, Inc",
Jamal,Bennett,jamal.bennett@northwind.example,,SDR,"Northwind Trading",
Diego,Ibrahim,diego.ibrahim@pine.example,,,"Pine & Rowe",
Anya,Sorensen,anya.sorensen@acme.example,,,"Acme, Inc",
Lena,Nowak,lena.nowak@cobalt.example,,,"Cobalt Health",
Leila,Silva,,,,"Ridgeline Software",
Elsa,Castellano,,,,"Vertex Retail",https://linkedin.com/in/elsa-castellano-236
Mateo,Haddad,mateo.haddad@ridgeline.example,+1 555 0163,Account Executive,"Ridgeline Software",https://linkedin.com/in/mateo-haddad-237
Zoe,Adeyemi,zoe.adeyemi@ridgeline.example,,,"Ridgeline Software",
Ava,Kaur,ava.kaur@ridgeline.example,,SDR,"Ridgeline Software",https://linkedin.com/in/ava-kaur-239
Idris,Tanaka,idris.tanaka@fairbank.example,,Director of Demand Gen,"Fairbank Group",
Viktor,Osei,viktor.osei@ridgeline.example,,Head of Sales,"Ridgeline Software",
Mia,Tanaka,mia.tanaka@halcyon.example,,SDR,"Halcyon Freight",
Viktor,Haddad,viktor.haddad@cobalt.example,,Partnerships Manager,"Cobalt Health",
Lena,Whitfield,,,Account Executive,"Halcyon Freight",https://linkedin.com/in/lena-whitfield-244
Iris,Tanaka,iris.tanaka@cobalt.example,,SDR,"Cobalt Health",
Leila,Marchetti,leila.marchetti@vertex.example,+1 555 0125,VP Marketing,"Vertex Retail",
Kian,Marchetti,kian.marchetti@halcyon.example,,Head of Sales,"Halcyon Freight",https://linkedin.com/in/kian-marchetti-247
Kian,Ferreira,kian.ferreira@acme.example,,RevOps Manager,"Acme, Inc",
Leila,Nyberg,leila.nyberg@vertex.example,,,"Vertex Retail",
Jamal,Marchetti,,+1 555 0126,SDR,"Halcyon Freight",https://linkedin.com/in/jamal-marchetti-250
Sana,Nowak,sana.nowak@ridgeline.example,+1 555 0189,,"Ridgeline Software",https://linkedin.com/in/sana-nowak-251
Diego,Adeyemi,,,Account Executive,"Fairbank Group",https://linkedin.com/in/diego-adeyemi-252
Viktor,Okafor,viktor.okafor@blue.example,,SDR,"Blue Harbor Labs",
Ava,Lindqvist,ava.lindqvist@vertex.example,,,"Vertex Retail",
Hugo,Lindqvist,hugo.lindqvist@cobalt.example,+1 555 0152,,"Cobalt Health",
Omar,Moreau,omar.moreau@pine.example,,RevOps Manager,"Pine & Rowe",
Freya,Nyberg,freya.nyberg@acme.example,,Customer Success Lead,"Acme, Inc",
Nora,Sorensen,nora.sorensen@vertex.example,,Founder,"Vertex Retail",https://linkedin.com/in/nora-sorensen-258
Diego,Rossi,diego.rossi@northwind.example,,Account Executive,"Northwind Trading",https://linkedin.com/in/diego-rossi-259
Priya,Bergman,priya.bergman@ridgeline.example,,RevOps Manager,"Ridgeline Software",
Iris,Marchetti,,,SDR,"Vertex Retail",https://linkedin.com/in/iris-marchetti-261
Noah,Adeyemi,noah.adeyemi@blue.example,,SDR,"Blue Harbor Labs",
Ingrid,Okafor,ingrid.okafor@vertex.example,+1 555 0150,VP Marketing,"Vertex Retail",https://linkedin.com/in/ingrid-okafor-263
Omar,Okafor,omar.okafor@acme.example,,VP Marketing,"Acme, Inc",
Mateo,Duarte,mateo.duarte@halcyon.example,,RevOps Manager,"Halcyon Freight",
Jamal,Ibrahim,jamal.ibrahim@cobalt.example,+1 555 0160,RevOps Manager,"Cobalt Health",
Hugo,Bennett,hugo.bennett@pine.example,+1 555 0103,,"Pine & Rowe",
Kian,Nowak,kian.nowak@acme.example,,RevOps Manager,"Acme, Inc",
Jonas,Kaur,jonas.kaur@acme.example,,VP Marketing,"Acme, Inc",
Nora,Marchetti,nora.marchetti@northwind.example,,,"Northwind Trading",
Lena,Nyberg,lena.nyberg@acme.example,,,"Acme, Inc",
Theo,Osei,theo.osei@fairbank.example,+1 555 0115,Head of Sales,"Fairbank Group",
Omar,Lambert,,,,"Ridgeline Software",
Kwame,Sandoval,kwame.sandoval@merrow.example,+1 555 0105,Founder,"Merrow Analytics",
Priya,Nowak,priya.nowak@acme.example,,VP Marketing,"Acme, Inc",https://linkedin.com/in/priya-nowak-275
Kian,Kaur,kian.kaur@fairbank.example,+1 555 0112,Founder,"Fairbank Group",
Ingrid,Feld,ingrid.feld@vertex.example,,SDR,"Vertex Retail",https://linkedin.com/in/ingrid-feld-277
Tomas,Marchetti,,+1 555 0107,,"Acme, Inc",
Anya,Bergman,anya.bergman@vertex.example,+1 555 0104,,"Vertex Retail",
Elif,Tanaka,elif.tanaka@merrow.example,,RevOps Manager,"Merrow Analytics",
Mateo,Vance,mateo.vance@vertex.example,,Founder,"Vertex Retail",
Mateo,Okafor,,,SDR,"Pine & Rowe",
Ethan,Duarte,ethan.duarte@cobalt.example,+1 555 0154,SDR,"Cobalt Health",
Freya,Reyes,,+1 555 0132,,"Acme, Inc",
Hugo,Ibrahim,hugo.ibrahim@cobalt.example,,Head of Sales,"Cobalt Health",
Ethan,Nowak,ethan.nowak@blue.example,,,"Blue Harbor Labs",https://linkedin.com/in/ethan-nowak-286
Marc,Reyes,,+1 555 0153,,"Merrow Analytics",https://linkedin.com/in/marc-reyes-287
Zoe,Silva,zoe.silva@acme.example,+1 555 0148,Customer Success Lead,"Acme, Inc",https://linkedin.com/in/zoe-silva-288
Clara,Haddad,clara.haddad@acme.example,+1 555 0145,Partnerships Manager,"Acme, Inc",https://linkedin.com/in/clara-haddad-289
Omar,Bergman,omar.bergman@cobalt.example,,,"Cobalt Health",https://linkedin.com/in/omar-bergman-290
Iris,Osei,iris.osei@pine.example,+1 555 0115,,"Pine & Rowe",
Nora,Okafor,nora.okafor@ridgeline.example,,Director of Demand Gen,"Ridgeline Software",
Maya,Tanaka,,+1 555 0121,SDR,"Halcyon Freight",
Leila,Castellano,leila.castellano@blue.example,,Customer Success Lead,"Blue Harbor Labs",
Mateo,Castellano,mateo.castellano@halcyon.example,,Customer Success Lead,"Halcyon Freight",
Sven,Novak,sven.novak@cobalt.example,,,"Cobalt Health",https://linkedin.com/in/sven-novak-296
Priya,Bergman,priya.bergman@vertex.example,,Partnerships Manager,"Vertex Retail",
Nora,Sandoval,nora.sandoval@merrow.example,,,"Merrow Analytics",https://linkedin.com/in/nora-sandoval-298
Iris,Adeyemi,iris.adeyemi@cobalt.example,,SDR,"Cobalt Health",
Kian,Ellis,kian.ellis@pine.example,,SDR,"Pine & Rowe",https://linkedin.com/in/kian-ellis-300
Iris,Novak,,,SDR,"Blue Harbor Labs",
Sana,Reyes,sana.reyes@blue.example,+1 555 0188,,"Blue Harbor Labs",
Freya,Sorensen,,,,"Cobalt Health",https://linkedin.com/in/freya-sorensen-303
Freya,Rossi,freya.rossi@cobalt.example,,,"Cobalt Health",
Diego,Tanaka,diego.tanaka@blue.example,,Account Executive,"Blue Harbor Labs",https://linkedin.com/in/diego-tanaka-305
